csMPa	cement	water	age
35.3	362.6	164.9	3
24.1	337.9	174.9	3
46.2	374	170.1	7
42.8	313.3	175.5	7
49.2	425	153.5	7
46.8	425	151.4	7
45.7	375	126.6	7
55.6	475	181.1	7
54.9	469	137.8	7
49.2	425	153.5	7
34.9	388.6	157.9	7
46.9	531.3	141.8	7
49.2	425	153.5	7
33.4	318.8	155.7	7
54.1	401.8	147.4	7
55.9	362.6	164.9	7
49.8	323.7	183.8	7
47.1	379.5	153.9	7
55.9	362.6	164.9	7
38	286.3	144.7	7
55.9	362.6	164.9	7
56.1	439	186	7
59.09	389.9	145.9	7
22.9	362.6	164.9	7
35.1	337.9	174.9	7
61.09	374	170.1	28
59.8	313.3	175.5	28
60.29	425	153.5	28
61.8	425	151.4	28
56.7	375	126.6	28
68.3	475	181.1	28
66.9	469	137.8	28
60.29	425	153.5	28
50.7	388.6	157.9	28
56.4	531.3	141.8	28
60.29	425	153.5	28
55.5	318.8	155.7	28
68.5	401.8	147.4	28
71.3	362.6	164.9	28
74.7	323.7	183.8	28
52.2	379.5	153.9	28
71.3	362.6	164.9	28
67.7	286.3	144.7	28
71.3	362.6	164.9	28
66	439	186	28
74.5	389.9	145.9	28
71.3	362.6	164.9	28
49.9	337.9	174.9	28
63.4	374	170.1	56
64.9	313.3	175.5	56
64.3	425	153.5	56
64.9	425	151.4	56
60.2	375	126.6	56
72.3	475	181.1	56
69.3	469	137.8	56
64.3	425	153.5	56
55.2	388.6	157.9	56
58.8	531.3	141.8	56
64.3	425	153.5	56
66.1	318.8	155.7	56
73.7	401.8	147.4	56
77.3	362.6	164.9	56
80.2	323.7	183.8	56
54.9	379.5	153.9	56
77.3	362.6	164.9	56
72.99	286.3	144.7	56
77.3	362.6	164.9	56
71.7	439	186	56
79.4	389.9	145.9	56
77.3	362.6	164.9	56
59.89	337.9	174.9	56
64.9	374	170.1	91
66.6	313.3	175.5	91
65.2	425	153.5	91
66.7	425	151.4	91
62.5	375	126.6	91
74.19	475	181.1	91
70.7	469	137.8	91
65.2	425	153.5	91
57.6	388.6	157.9	91
59.2	531.3	141.8	91
65.2	425	153.5	91
68.1	318.8	155.7	91
75.5	401.8	147.4	91
79.3	362.6	164.9	91
56.5	379.5	153.9	91
79.3	362.6	164.9	91
76.8	286.3	144.7	91
79.3	362.6	164.9	91
73.3	439	186	91
82.6	389.9	145.9	91
79.3	362.6	164.9	91
67.8	337.9	174.9	91
11.58	222.4	189.3	3
24.45	222.4	189.3	14
24.89	222.4	189.3	28
29.45	222.4	189.3	56
40.71	222.4	189.3	100
10.38	233.8	197.9	3
22.14	233.8	197.9	14
22.84	233.8	197.9	28
27.66	233.8	197.9	56
34.56	233.8	197.9	100
12.45	194.7	165.6	3
24.99	194.7	165.6	14
25.72	194.7	165.6	28
33.96	194.7	165.6	56
37.34	194.7	165.6	100
15.04	190.7	162.1	3
21.06	190.7	162.1	14
26.4	190.7	162.1	28
35.34	190.7	162.1	56
40.57	190.7	162.1	100
12.47	212.1	180.3	3
20.92	212.1	180.3	14
24.9	212.1	180.3	28
34.2	212.1	180.3	56
39.61	212.1	180.3	100
10.03	230	195.5	3
20.08	230	195.5	14
24.48	230	195.5	28
31.54	230	195.5	56
35.34	230	195.5	100
9.45	190.3	161.9	3
22.72	190.3	161.9	14
28.47	190.3	161.9	28
38.56	190.3	161.9	56
40.39	190.3	161.9	100
10.76	166.1	176.5	3
25.48	166.1	176.5	14
21.54	166.1	176.5	28
28.63	166.1	176.5	56
33.54	166.1	176.5	100
7.75	168	121.8	3
17.82	168	121.8	14
24.24	168	121.8	28
32.85	168	121.8	56
39.23	168	121.8	100
18	213.7	181.7	3
30.39	213.7	181.7	14
45.71	213.7	181.7	28
50.77	213.7	181.7	56
53.9	213.7	181.7	100
13.18	213.8	181.7	3
17.84	213.8	181.7	14
40.23	213.8	181.7	28
47.13	213.8	181.7	56
49.97	213.8	181.7	100
13.36	229.7	195.2	3
22.32	229.7	195.2	14
24.54	229.7	195.2	28
31.35	229.7	195.2	56
40.86	229.7	195.2	100
19.93	238.1	186.7	3
25.69	238.1	186.7	14
30.23	238.1	186.7	28
39.59	238.1	186.7	56
44.3	238.1	186.7	100
13.82	250	187.4	3
24.92	250	187.4	14
29.22	250	187.4	28
38.33	250	187.4	56
42.35	250	187.4	100
13.54	212.5	159.3	3
26.31	212.5	159.3	14
31.64	212.5	159.3	28
42.55	212.5	159.3	56
42.92	212.5	159.3	100
13.33	212.6	159.4	3
25.37	212.6	159.4	14
37.4	212.6	159.4	28
44.4	212.6	159.4	56
47.74	212.6	159.4	100
19.52	212	159	3
31.35	212	159	14
38.5	212	159	28
45.08	212	159	56
47.82	212	159	100
15.44	231.8	174	3
26.77	231.8	174	14
33.73	231.8	174	28
42.7	231.8	174	56
45.84	231.8	174	100
17.22	251.4	188.5	3
29.93	251.4	188.5	14
29.65	251.4	188.5	28
36.97	251.4	188.5	56
43.58	251.4	188.5	100
13.12	251.4	188.5	3
24.43	251.4	188.5	14
32.66	251.4	188.5	28
36.64	251.4	188.5	56
44.21	251.4	188.5	100
13.62	181.4	169.6	3
21.6	181.4	169.6	14
27.77	181.4	169.6	28
35.57	181.4	169.6	56
45.37	181.4	169.6	100
7.32	182	170.2	3
21.5	182	170.2	14
31.27	182	170.2	28
43.5	182	170.2	56
48.67	182	170.2	100
7.4	168.9	158.3	3
23.51	168.9	158.3	14
31.12	168.9	158.3	28
39.15	168.9	158.3	56
48.15	168.9	158.3	100
22.5	290.4	168.1	3
34.67	290.4	168.1	14
34.74	290.4	168.1	28
45.08	290.4	168.1	56
48.97	290.4	168.1	100
23.14	277.1	160.6	3
41.89	277.1	160.6	14
48.28	277.1	160.6	28
51.04	277.1	160.6	56
55.64	277.1	160.6	100
22.95	295.7	171.5	3
35.23	295.7	171.5	14
39.94	295.7	171.5	28
48.72	295.7	171.5	56
52.04	295.7	171.5	100
21.02	251.8	146.1	3
33.36	251.8	146.1	14
33.94	251.8	146.1	28
44.14	251.8	146.1	56
45.37	251.8	146.1	100
15.36	249.1	158.1	3
28.68	249.1	158.1	14
30.85	249.1	158.1	28
42.03	249.1	158.1	56
51.06	249.1	158.1	100
21.78	252.3	146.3	3
42.29	252.3	146.3	14
50.6	252.3	146.3	28
55.83	252.3	146.3	56
60.95	252.3	146.3	100
23.52	246.8	143.3	3
42.22	246.8	143.3	14
52.5	246.8	143.3	28
60.32	246.8	143.3	56
66.42	246.8	143.3	100
23.8	275.1	159.5	3
38.77	275.1	159.5	14
51.33	275.1	159.5	28
56.85	275.1	159.5	56
58.61	275.1	159.5	100
21.91	297.2	174.8	3
36.99	297.2	174.8	14
47.4	297.2	174.8	28
51.96	297.2	174.8	56
56.74	297.2	174.8	100
17.57	213.7	154.8	3
33.73	213.7	154.8	14
40.15	213.7	154.8	28
46.64	213.7	154.8	56
50.08	213.7	154.8	100
17.37	213.5	154.6	3
33.7	213.5	154.6	14
45.94	213.5	154.6	28
51.43	213.5	154.6	56
59.3	213.5	154.6	100
30.45	277.2	160.7	3
47.71	277.2	160.7	14
63.14	277.2	160.7	28
66.82	277.2	160.7	56
66.95	277.2	160.7	100
27.42	218.2	140.8	3
35.96	218.2	140.8	14
55.51	218.2	140.8	28
61.99	218.2	140.8	56
63.53	218.2	140.8	100
18.02	214.9	155.6	3
38.6	214.9	155.6	14
52.2	214.9	155.6	28
53.96	214.9	155.6	56
56.63	214.9	155.6	100
15.34	218.9	158.5	3
26.05	218.9	158.5	14
30.22	218.9	158.5	28
37.27	218.9	158.5	56
46.23	218.9	158.5	100
16.28	376	214.6	3
25.62	376	214.6	14
31.97	376	214.6	28
36.3	376	214.6	56
43.06	376	214.6	100
67.57	500	140	28
57.23	475	142	28
81.75	315	145	28
64.02	505	195	28
78.8	451	165	28
41.37	516	162	28
60.28	520	170	28
56.83	528	185	28
51.02	520	175	28
55.55	385	158	28
44.13	500.1	200	28
39.38	450.1	200	28
55.65	397	167	28
47.28	333	167	28
44.33	334	189	28
52.3	405	175	28
49.25	200	190	28
41.37	516	162	28
29.16	145	184	28
39.4	160	182	28
39.3	234	189	28
67.87	250	159	28
58.52	475	162	28
53.58	285	163	28
59	356	160	28
76.24	275	162	28
69.84	500	151	28
14.4	165	163.8	3
19.42	165	175.1	3
20.73	178	179.9	3
14.94	167.4	175.5	3
21.29	172.4	156.8	3
23.08	173.5	164.8	3
15.52	167	164	3
15.82	173.8	172.3	3
12.55	190.3	166.6	3
8.49	250	191.8	3
15.61	213.5	159.2	3
12.18	194.7	170.2	3
11.98	251.4	192.9	3
16.88	165	163.8	14
33.09	165	175.1	14
34.24	178	179.9	14
31.81	167.4	175.5	14
29.75	172.4	156.8	14
33.01	173.5	164.8	14
32.9	167	164	14
29.55	173.8	172.3	14
19.42	190.3	166.6	14
24.66	250	191.8	14
29.59	213.5	159.2	14
24.28	194.7	170.2	14
20.73	251.4	192.9	14
26.2	165	163.8	28
46.39	165	175.1	28
39.16	178	179.9	28
41.2	167.4	175.5	28
33.69	172.4	156.8	28
38.2	173.5	164.8	28
41.41	167	164	28
37.81	173.8	172.3	28
24.85	190.3	166.6	28
27.22	250	191.8	28
44.64	213.5	159.2	28
37.27	194.7	170.2	28
33.27	251.4	192.9	28
36.56	165	163.8	56
53.72	165	175.1	56
48.59	178	179.9	56
51.72	167.4	175.5	56
35.85	172.4	156.8	56
53.77	173.5	164.8	56
53.46	167	164	56
48.99	173.8	172.3	56
31.72	190.3	166.6	56
39.64	250	191.8	56
51.26	213.5	159.2	56
43.39	194.7	170.2	56
39.27	251.4	192.9	56
37.96	165	163.8	100
55.02	165	175.1	100
49.99	178	179.9	100
53.66	167.4	175.5	100
37.68	172.4	156.8	100
56.06	173.5	164.8	100
56.81	167	164	100
50.94	173.8	172.3	100
33.56	190.3	166.6	100
41.16	250	191.8	100
52.96	213.5	159.2	100
44.28	194.7	170.2	100
40.15	251.4	192.9	100
57.03	446	162	28
44.42	446	162	28
51.02	446	162	28
53.39	446	162	28
35.36	446	162	3
25.02	446	162	3
23.35	446	162	3
52.01	446	162	7
38.02	446	162	7
39.3	446	162	7
61.07	446	162	56
56.14	446	162	56
55.25	446	162	56
54.77	446	162	56
50.24	387	157	28
46.68	387	157	28
46.68	387	157	28
22.75	387	157	3
25.51	387	157	3
34.77	387	157	3
36.84	387	157	7
45.9	387	157	7
41.67	387	157	7
56.34	387	157	56
47.97	387	157	56
61.46	387	157	56
44.03	355	145	28
55.45	355	145	28
55.55	491	210	28
57.92	491	201	28
25.61	491	210	3
33.49	491	210	7
59.59	491	210	56
29.55	491	201	3
37.92	491	201	7
61.86	491	201	56
62.05	424	178	28
32.01	424	178	3
72.1	424	168	28
39	424	178	7
65.7	424	178	56
32.11	424	168	3
40.29	424	168	7
74.36	424	168	56
21.97	202	206	28
9.85	202	206	3
15.07	202	206	7
23.25	202	206	56
43.73	284	179	28
13.4	284	179	3
24.13	284	179	7
44.52	284	179	56
62.94	359	154	28
59.49	359	154	28
25.12	359	154	3
23.64	359	154	3
35.75	359	154	7
38.61	359	154	7
68.75	359	154	56
66.78	359	154	56
23.85	436	218	28
32.07	289	192	90
11.65	289	192	3
19.2	393	192	3
48.85	393	192	90
39.6	393	192	28
43.94	480	192	28
34.57	480	192	7
54.32	480	192	90
24.4	480	192	3
15.62	333	192	3
21.86	255	192	90
10.22	255	192	7
14.6	289	192	7
18.75	255	192	28
31.97	333	192	28
23.4	333	192	7
25.57	289	192	28
41.68	333	192	90
27.74	393	192	7
8.2	255	192	3
9.62	158.8	185.7	7
25.42	239.6	185.7	7
15.69	238.2	185.7	7
27.94	181.9	185.7	28
32.63	193.5	185.7	28
17.24	255.5	185.7	7
19.77	272.8	185.7	7
39.44	239.6	185.7	28
25.75	220.8	185.7	28
33.08	397	185.7	28
24.07	382.5	185.7	7
21.82	210.7	185.7	7
21.07	158.8	185.7	28
14.84	295.8	185.7	7
32.05	255.5	185.7	28
11.96	203.5	185.7	7
25.45	397	185.7	7
22.49	381.4	185.7	28
25.22	295.8	185.7	28
39.7	228	185.7	28
13.09	220.8	185.7	7
38.7	316.1	185.7	28
7.51	135.7	185.7	7
17.58	238.1	185.7	28
21.18	339.2	185.7	7
18.2	135.7	185.7	28
17.2	193.5	185.7	7
22.63	203.5	185.7	28
21.86	290.2	185.7	7
12.37	181.9	185.7	7
25.73	170.3	185.7	28
37.81	210.7	185.7	28
21.92	228	185.7	7
33.04	290.2	185.7	28
14.54	381.4	185.7	7
26.91	238.2	185.7	28
8	186.2	185.7	7
31.9	339.2	185.7	28
10.34	238.1	185.7	7
19.77	252.5	185.7	28
37.44	382.5	185.7	28
11.48	252.5	185.7	7
24.44	316.1	185.7	7
17.6	186.2	185.7	28
10.73	170.3	185.7	7
31.38	272.8	185.7	28
13.22	339	197	3
20.97	339	197	7
27.04	339	197	14
32.04	339	197	28
35.17	339	197	90
36.45	339	197	180
38.89	339	197	365
6.47	236	194	3
12.84	236	194	14
18.42	236	194	28
21.95	236	194	90
24.1	236	193	180
25.08	236	193	365
21.26	277	191	14
25.97	277	191	28
11.36	277	191	3
31.25	277	191	90
32.33	277	191	180
33.7	277	191	360
9.31	254	198	3
26.94	254	198	90
27.63	254	198	180
29.79	254	198	365
34.49	307	193	180
36.15	307	193	365
12.54	307	193	3
27.53	307	193	28
32.92	307	193	90
9.99	236	193	7
7.84	200	180	7
12.25	200	180	28
11.17	225	181	7
17.34	225	181	28
17.54	325	184	7
30.57	325	184	28
14.2	275	183	7
24.5	275	183	28
15.58	300	184	7
26.85	300	184	28
26.06	375	186	7
38.21	375	186	28
43.7	400	187	28
30.14	400	187	7
12.73	250	182	7
20.87	250	182	28
20.28	350	186	7
34.29	350	186	28
19.54	203.5	203.5	7
47.71	250.2	203.5	90
43.38	157	192	90
29.89	141.3	203.5	28
6.9	166.8	203.5	3
33.19	122.6	203.5	90
4.9	183.9	203.5	3
4.57	102	192	3
25.46	102	192	90
24.29	122.6	203.5	28
33.95	166.8	203.5	28
11.41	200	192	3
20.59	108.3	203.5	28
25.89	305.3	203.5	7
29.23	108.3	203.5	90
31.02	116	192	90
10.39	141.3	203.5	7
33.66	157	192	28
27.87	133	192	28
19.35	250.2	203.5	7
11.39	173	192	7
12.79	192	192	3
39.32	192	192	28
4.78	153	192	3
16.11	288	192	3
43.38	305.3	203.5	28
20.42	236	192	7
6.94	173	192	3
15.03	212	203.5	7
13.57	236	192	3
32.53	183.9	203.5	90
15.75	166.8	203.5	7
7.68	102	192	7
38.8	288	192	28
33	212	203.5	28
17.28	102	192	28
24.28	173	192	28
24.05	183.9	203.5	28
36.59	133	192	90
50.73	192	192	90
13.66	133	192	7
14.14	305.3	203.5	3
47.78	236	192	90
2.33	108.3	203.5	3
16.89	157	192	7
23.52	288	192	7
6.81	212	203.5	3
39.7	212	203.5	90
17.96	153	192	28
32.88	236	192	28
22.35	116	192	28
10.79	183.9	203.5	7
7.72	108.3	203.5	7
41.68	203.5	203.5	28
9.56	203.5	203.5	3
6.88	133	192	3
50.53	288	192	90
17.17	200	192	7
30.44	200	192	28
9.73	250.2	203.5	3
3.32	122.6	203.5	3
26.32	153	192	90
43.25	200	192	90
6.28	116	192	3
32.1	173	192	90
36.96	250.2	203.5	28
54.6	305.3	203.5	90
21.48	192	192	7
9.69	157	192	3
8.37	153	192	7
39.66	141.3	203.5	90
10.09	116	192	7
4.83	141.3	203.5	3
10.35	122.6	203.5	7
43.57	166.8	203.5	90
51.86	203.5	203.5	90
11.85	310	192	3
17.24	310	192	7
27.83	310	192	28
35.76	310	192	90
38.7	310	192	120
14.31	331	192	3
17.44	331	192	7
31.74	331	192	28
37.91	331	192	90
39.38	331	192	120
15.87	349	192	3
9.01	349	192	7
33.61	349	192	28
40.66	349	192	90
40.86	349	192	120
12.05	238	186	7
17.54	238	186	28
18.91	296	186	7
25.18	296	186	28
30.96	297	186	7
43.89	480	192	28
54.28	480	192	90
36.94	397	186	28
14.5	281	186	7
22.44	281	185	28
12.64	500	200	1
26.06	500	200	3
33.21	500	200	7
36.94	500	200	14
44.09	500	200	28
52.61	540	173	7
59.76	540	173	14
67.31	540	173	28
69.66	540	173	90
71.62	540	173	180
74.17	540	173	270
18.13	350	203	7
22.53	350	203	14
27.34	350	203	28
29.98	350	203	56
31.35	350	203	90
32.72	350	203	180
6.27	385	186	1
14.7	385	186	3
23.22	385	186	7
27.92	385	186	14
31.35	385	186	28
39	331	192	180
41.24	331	192	360
14.99	349	192	3
13.52	331	192	3
24	382	186	7
37.42	382	186	28
11.47	382	186	7
22.44	281	186	28
21.16	339	185	7
31.84	339	185	28
14.8	295	185	7
25.18	295	185	28
17.54	238	185	28
14.2	296	192	7
21.65	296	192	28
29.39	296	192	90
13.52	331	192	3
16.26	331	192	7
31.45	331	192	28
37.23	331	192	90
18.13	349	192	7
32.72	349	192	28
39.49	349	192	90
41.05	349	192	180
42.13	349	192	360
18.13	302	203	14
26.74	302	203	180
61.92	525	189	180
47.22	500	200	90
51.04	500	200	180
55.16	500	200	270
41.64	540	173	3
13.71	252	185	7
19.69	252	185	28
31.65	339	185	28
19.11	393	192	3
39.58	393	192	28
48.79	393	192	90
24	382	185	7
37.42	382	185	28
11.47	252	186	7
19.69	252	185	28
14.99	310	192	7
27.92	310	192	28
34.68	310	192	90
37.33	310	192	180
38.11	310	192	360
33.8	525	189	3
42.42	525	189	7
48.4	525	189	14
55.94	525	189	28
58.78	525	189	90
67.11	525	189	270
20.77	322	203	14
25.18	322	203	28
29.59	322	203	180
21.75	302	203	28
39.09	397	185	28
24.39	480	192	3
50.51	522	146	7
74.99	522	146	28
37.17	273	210	28
33.76	162	179	28
16.5	154	220	28
19.99	147	202	28
36.35	152	168	28
33.69	310	168	28
15.42	144	158	28
33.42	304	214	28
39.05	374	190	28
27.68	159	175	28
26.86	153	200	28
45.3	310	168	28
30.12	305	196	28
15.57	151	167	28
44.61	142	174	28
53.52	298	201	28
57.21	321	190	28
65.91	366	191	28
52.82	280	172	28
33.4	252	194	28
18.03	165	182	28
37.36	156	180	28
32.84	160	203	28
42.64	298	186	28
40.06	318	210	28
41.94	287	188	28
61.23	326	174	28
40.87	356	193	28
33.3	132	179	28
52.42	322	186	28
15.09	164	181	28
38.46	314	170	28
37.26	321	182	28
35.23	140	237	28
42.13	288	177	28
31.87	298	210	28
41.54	265	195	28
39.45	160	168	28
37.91	166	183	28
44.28	276	180	28
31.18	322	196	28
23.69	149	193	28
32.76	159	176	28
32.4	261	201	28
28.63	237	247	28
36.8	313	178	28
18.28	155	193	28
33.06	146	202	28
31.42	296	221	28
31.03	133	196	28
44.39	313	178	28
12.18	152	184	28
25.56	153	178	28
36.44	140	200	28
32.96	149	176	28
23.84	300	212	28
26.23	153	178	28
17.95	148	158	28
40.68	326	199	28
19.01	153	178	28
33.72	262	195	28
8.54	158	220	28
13.46	151	167	28
32.24	273	199	28
23.52	149	183	28
29.72	143	191	28
49.77	260	171	28
52.44	313	178	28
40.93	284	168	28
44.86	336	182	28
13.2	145	181	28
37.43	150	174	28
29.87	144	192	28
56.61	331	195	28
12.46	155	193	28
23.79	155	193	28
13.29	135	180	28
39.42	266	178	28
46.23	314	179	28
44.52	313	127	28
23.74	146	182	28
26.14	144	178	28
15.52	148	181	28
43.57	277	191	28
35.86	298	164	28
41.05	313	178	28
28.99	155	194	28
46.24	289	195	28
26.92	148	171	28
10.54	145	202	28
25.1	313	178	28
29.07	136	172	28
9.74	155	193	28
33.8	255	189	28
39.84	162	216	28
26.97	136	199	28
27.23	164	197	28
30.65	162	202	28
33.05	157	200	28
24.58	149	192	28
21.91	135	196	28
30.88	159	201	28
15.34	144	176	28
24.34	154	228	28
23.89	167	185	28
22.93	184	213	28
29.41	156	221	28
28.63	236.9	246.9	28
36.8	313.3	178.5	28
18.29	154.8	193.3	28
32.72	145.9	202.5	28
31.42	296	221.4	28
28.94	133.1	195.7	28
40.93	313.3	178.5	28
12.18	151.6	184.4	28
25.56	153.1	178.5	28
36.44	139.9	200.3	28
32.96	149.5	175.8	28
23.84	299.8	211.5	28
26.23	153.1	178.5	28
17.96	148.1	158.1	28
38.63	326.5	199	28
19.01	152.7	178.1	28
33.72	261.9	195.4	28
8.54	158.4	219.7	28
13.46	150.7	166.7	28
32.25	272.6	198.7	28
23.52	149	182.9	28
29.73	143	190.7	28
49.77	259.9	170.6	28
52.45	312.9	177.6	28
40.93	284	168.3	28
44.87	336.5	181.9	28
13.2	144.8	180.8	28
37.43	150	173.8	28
29.87	143.7	191.6	28
56.62	330.5	194.9	28
12.46	154.8	193.3	28
23.79	154.8	193.3	28
13.29	134.7	180.2	28
39.42	266.2	177.9	28
46.23	314	178.9	28
44.52	312.7	127.3	28
23.74	145.7	181.9	28
26.15	143.8	178.1	28
15.53	148.1	181.4	28
43.58	277	190.6	28
35.87	298.1	163.6	28
41.05	313.3	178.5	28
28.99	155.2	193.8	28
46.25	289	194.9	28
26.92	147.8	171.2	28
10.54	145.4	201.7	28
25.1	312.7	178.1	28
29.07	136.4	171.6	28
9.74	154.8	193.3	28
33.8	255.3	188.6	28
37.17	272.8	209.7	28
33.76	162	178.8	28
16.5	153.6	220.1	28
19.99	146.5	201.9	28
36.35	151.8	167.5	28
38.22	309.9	167.8	28
15.42	143.6	158.4	28
33.42	303.6	213.5	28
39.06	374.3	190.2	28
27.68	158.6	175.1	28
26.86	152.6	200	28
45.3	310	167.9	28
30.12	304.8	196	28
15.57	150.9	166.6	28
44.61	141.9	173.5	28
53.52	297.8	201.3	28
57.22	321.3	190.5	28
65.91	366	191.3	28
52.83	279.8	172.4	28
33.4	252.1	193.8	28
18.03	164.6	181.6	28
37.36	155.6	180.3	28
35.31	160.2	203.2	28
42.64	298.1	186.4	28
40.06	317.9	209.7	28
43.8	287.3	187.6	28
61.24	325.6	174	28
40.87	355.9	193.3	28
33.31	132	178.9	28
52.43	322.5	185.8	28
15.09	164.2	181.2	28
38.46	313.8	169.9	28
37.27	321.4	182.5	28
35.23	139.7	236.7	28
42.14	288.4	177.4	28
31.88	298.2	209.7	28
41.54	264.5	195.5	28
39.46	159.8	168.4	28
37.92	166	183.2	28
44.28	276.4	179.6	28
31.18	322.2	196	28
23.7	148.5	192.7	28
32.77	159.1	175.6	28
32.4	260.9	200.6	28
