Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","19","Bolivia (Plurinational State of)","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","12","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","80","Bosnia and Herzegovina","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","70","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","20","Botswana","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","2","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","688","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","27","Bulgaria","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","5157","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","233","Burkina Faso","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","29","Burundi","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","23","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","35","Cabo Verde","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","115","Cambodia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","4","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","32","Cameroon","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","1","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","33","Canada","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","24198","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","40","Chile","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","62","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","351","China","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","924","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balances (2010-)","96","China, Hong Kong SAR","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","77","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","128","China, Macao SAR","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","1","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","41","China, mainland","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","734","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","214","China, Taiwan Province of","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","111","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","44","Colombia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","82","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","46","Congo","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","48","Costa Rica","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","87","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","107","C?te d'Ivoire","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","125","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","98","Croatia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","437","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","49","Cuba","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","50","Cyprus","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","9","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","167","Czechia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","2118","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","116","Democratic People's Republic of Korea","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","250","Democratic Republic of the Congo","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","54","Denmark","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","840","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","55","Dominica","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","56","Dominican Republic","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","93","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","58","Ecuador","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","10","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","59","Egypt","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","1060","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","60","El Salvador","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","185","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","63","Estonia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","657","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","209","Eswatini","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","238","Ethiopia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","4","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","66","Fiji","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","64","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","67","Finland","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","115","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","68","France","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","21458","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","70","French Polynesia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","74","Gabon","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","75","Gambia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","1","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","73","Georgia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","4","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","79","Germany","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","8775","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","81","Ghana","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","142","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","84","Greece","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","498","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","86","Grenada","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","5","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","89","Guatemala","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","142","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","90","Guinea","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","91","Guyana","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","2","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","93","Haiti","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","2","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","95","Honduras","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","52","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","97","Hungary","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","2743","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","99","Iceland","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","100","India","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","673","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","101","Indonesia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","472","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","102","Iran (Islamic Republic of)","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","390","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","103","Iraq","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","1","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","104","Ireland","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","313","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","105","Israel","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","47","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","106","Italy","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","4171","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","109","Jamaica","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","18","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","110","Japan","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","268","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","112","Jordan","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","77","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","108","Kazakhstan","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","7426","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","114","Kenya","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","10","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","118","Kuwait","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","117","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","113","Kyrgyzstan","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","4","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","120","Lao People's Democratic Republic","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","1","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","119","Latvia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","2626","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","121","Lebanon","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","34","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","122","Lesotho","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","59","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","123","Liberia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","124","Libya","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","126","Lithuania","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","3453","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","256","Luxembourg","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","178","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","129","Madagascar","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","130","Malawi","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","131","Malaysia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","507","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","132","Maldives","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","133","Mali","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","134","Malta","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","1","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","136","Mauritania","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","137","Mauritius","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","22","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","138","Mexico","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","1799","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","141","Mongolia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","273","Montenegro","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","1","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","143","Morocco","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","36","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","144","Mozambique","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","43","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","28","Myanmar","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","3","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","147","Namibia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","4","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","149","Nepal","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","8","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","150","Netherlands","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","1629","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","153","New Caledonia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","156","New Zealand","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","38","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","157","Nicaragua","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","14","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","158","Niger","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","14","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","159","Nigeria","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","10","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","154","North Macedonia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","42","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","162","Norway","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","13","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","221","Oman","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","113","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","165","Pakistan","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","840","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","166","Panama","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","1","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","168","Papua New Guinea","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","2","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","169","Paraguay","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","426","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","170","Peru","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","161","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","171","Philippines","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","165","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","173","Poland","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","3127","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","174","Portugal","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","291","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","117","Republic of Korea","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","143","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","146","Republic of Moldova","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","563","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","183","Romania","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","6197","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","185","Russian Federation","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","32669","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","184","Rwanda","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","90","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","189","Saint Lucia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","2","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","191","Saint Vincent and the Grenadines","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","15","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","244","Samoa","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","194","Saudi Arabia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","208","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","195","Senegal","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","30","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","272","Serbia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","599","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","196","Seychelles","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","197","Sierra Leone","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","199","Slovakia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","1048","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","198","Slovenia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","160","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","202","South Africa","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","307","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","203","Spain","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","1909","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","38","Sri Lanka","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","73","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","276","Sudan","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","7","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","207","Suriname","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","210","Sweden","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","907","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","211","Switzerland","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","78","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","212","Syrian Arab Republic","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","5","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","208","Tajikistan","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","216","Thailand","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","291","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","176","Timor-Leste","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","217","Togo","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","12","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","220","Trinidad and Tobago","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","30","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","222","Tunisia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","158","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","223","Turkey","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","6643","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","213","Turkmenistan","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","226","Uganda","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","55","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","230","Ukraine","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","20519","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","225","United Arab Emirates","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","417","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","1714","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","215","United Republic of Tanzania","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","44","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","231","United States of America","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","28474","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","234","Uruguay","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","323","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","235","Uzbekistan","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","646","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","155","Vanuatu","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","236","Venezuela (Bolivarian Republic of)","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","237","Viet Nam","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","299","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","249","Yemen","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","121","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","251","Zambia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","62","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","181","Zimbabwe","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","5","Im","FAO data based on imputation methodology"
